epoch,d_loss,g_loss,seconds,gan_type
1,0.378046,6.065907,7.65,dcgan
2,0.419808,4.579497,6.82,dcgan
3,0.509696,3.885253,7.36,dcgan
4,0.463415,3.461522,7.31,dcgan
5,0.394382,3.940136,7.28,dcgan
6,0.604772,3.143403,7.03,dcgan
7,0.624661,2.898068,7.18,dcgan
8,0.663801,2.838505,7.13,dcgan
9,0.674217,2.776325,6.98,dcgan
10,0.693032,2.593221,7.01,dcgan
11,0.712743,2.535560,7.20,dcgan
12,0.689894,2.494679,7.19,dcgan
13,0.632562,2.502344,7.03,dcgan
14,0.735697,2.368389,7.08,dcgan
15,0.740154,2.274594,6.88,dcgan
16,0.806964,2.266827,7.50,dcgan
17,0.776612,2.177836,7.35,dcgan
18,0.784549,2.166059,7.08,dcgan
19,0.839856,2.129665,7.36,dcgan
20,0.797728,2.107673,7.44,dcgan
21,0.809547,2.124201,7.80,dcgan
22,0.772601,2.117531,7.78,dcgan
23,0.816111,2.115309,7.82,dcgan
24,0.809214,2.141984,7.54,dcgan
25,0.739583,2.170001,7.25,dcgan
26,0.799811,2.179954,7.20,dcgan
27,0.745421,2.204936,7.30,dcgan
28,0.721672,2.211516,7.13,dcgan
29,0.799755,2.238665,7.21,dcgan
30,0.760432,2.239880,7.17,dcgan
31,0.717508,2.273068,7.33,dcgan
32,0.738822,2.275534,7.33,dcgan
33,0.716903,2.273078,7.22,dcgan
34,0.663074,2.333378,7.37,dcgan
35,0.713406,2.341813,7.17,dcgan
36,0.699592,2.370320,7.13,dcgan
37,0.666489,2.418687,6.96,dcgan
38,0.705013,2.445482,6.98,dcgan
39,0.637233,2.419611,7.15,dcgan
40,0.748046,2.417205,7.55,dcgan
41,0.579336,2.415440,7.54,dcgan
42,0.634470,2.473002,7.81,dcgan
43,0.653432,2.474920,7.15,dcgan
44,0.648892,2.552439,7.26,dcgan
45,0.704779,2.507827,7.04,dcgan
46,0.522347,2.527809,6.99,dcgan
47,0.653924,2.635012,6.90,dcgan
48,0.653976,2.585877,7.04,dcgan
49,0.557388,2.573574,7.08,dcgan
50,0.574183,2.654890,7.00,dcgan
51,0.743157,2.576053,7.00,dcgan
52,0.471583,2.646893,7.04,dcgan
53,0.676328,2.647111,7.12,dcgan
54,0.578329,2.639344,7.26,dcgan
55,0.475762,2.732828,7.06,dcgan
56,0.741959,2.698192,7.03,dcgan
57,0.575883,2.641209,7.00,dcgan
58,0.530516,2.712008,7.10,dcgan
59,0.623959,2.801351,6.86,dcgan
60,0.530980,2.696361,6.81,dcgan
61,0.644137,2.775234,6.74,dcgan
62,0.490276,2.736083,6.98,dcgan
63,0.588267,2.790224,7.04,dcgan
64,0.540143,2.766351,7.13,dcgan
65,0.538817,2.877071,7.02,dcgan
66,0.497613,2.905039,7.02,dcgan
67,0.444182,2.946715,7.06,dcgan
68,0.655248,2.856105,7.00,dcgan
69,0.584213,2.883060,7.05,dcgan
70,0.495198,2.869259,7.12,dcgan
71,0.493452,2.967164,7.15,dcgan
72,0.598582,2.949894,7.30,dcgan
73,0.517409,2.936506,6.97,dcgan
74,0.437817,2.921890,7.08,dcgan
75,0.588004,2.935677,7.04,dcgan
76,0.462622,2.965975,7.06,dcgan
77,0.507120,3.049728,7.23,dcgan
78,0.448914,3.068388,7.17,dcgan
79,0.415787,3.161130,7.00,dcgan
80,0.531552,3.054612,7.21,dcgan
81,0.511328,3.054576,7.10,dcgan
82,0.521846,3.089815,7.23,dcgan
83,0.399515,3.141669,7.24,dcgan
84,0.545570,3.081278,7.05,dcgan
85,0.381643,3.202625,7.11,dcgan
86,0.727668,3.031124,7.05,dcgan
87,0.428624,3.148517,7.02,dcgan
88,0.323635,3.224200,7.02,dcgan
89,0.928387,2.828524,7.19,dcgan
90,0.398329,3.104214,6.86,dcgan
91,0.418545,3.143876,7.21,dcgan
92,0.487066,3.179071,6.92,dcgan
93,0.315341,3.305679,6.74,dcgan
94,0.518484,3.268423,7.55,dcgan
95,0.334228,3.313367,7.79,dcgan
96,0.329686,3.402974,7.72,dcgan
97,0.442988,3.342943,7.67,dcgan
98,0.608612,3.208585,7.09,dcgan
99,0.489806,3.356038,7.22,dcgan
100,0.444288,3.267120,7.16,dcgan
