epoch,d_loss,g_loss,seconds,gan_type
112,2.000000,-0.263247,36.72,conditional-resnet-hinge
113,2.000000,-0.272043,37.06,conditional-resnet-hinge
114,2.000000,-0.259351,36.65,conditional-resnet-hinge
115,2.000000,-0.232377,36.43,conditional-resnet-hinge
116,2.000000,-0.214424,36.70,conditional-resnet-hinge
117,2.000000,-0.231464,36.76,conditional-resnet-hinge
118,2.000000,-0.232419,36.56,conditional-resnet-hinge
119,2.000000,-0.223357,36.74,conditional-resnet-hinge
120,2.000000,-0.227729,36.47,conditional-resnet-hinge
121,2.000000,-0.221500,36.81,conditional-resnet-hinge
122,2.000000,-0.211151,36.93,conditional-resnet-hinge
123,2.000000,-0.226527,36.80,conditional-resnet-hinge
124,2.000000,-0.232439,36.73,conditional-resnet-hinge
125,2.000000,-0.220991,37.00,conditional-resnet-hinge
126,2.000000,-0.210785,36.73,conditional-resnet-hinge
127,2.000000,-0.218365,37.03,conditional-resnet-hinge
128,2.000000,-0.208754,36.88,conditional-resnet-hinge
129,2.000000,-0.210836,36.39,conditional-resnet-hinge
130,2.000000,-0.199498,36.81,conditional-resnet-hinge
131,2.000000,-0.192119,36.72,conditional-resnet-hinge
132,2.000000,-0.202344,36.44,conditional-resnet-hinge
133,2.000000,-0.209438,36.84,conditional-resnet-hinge
134,2.000000,-0.210287,37.01,conditional-resnet-hinge
135,2.000000,-0.231745,36.74,conditional-resnet-hinge
136,2.000000,-0.231111,36.67,conditional-resnet-hinge
137,2.000000,-0.221282,37.13,conditional-resnet-hinge
138,2.000000,-0.209293,36.96,conditional-resnet-hinge
139,2.000000,-0.225613,36.92,conditional-resnet-hinge
140,2.000000,-0.249862,36.89,conditional-resnet-hinge
141,2.000000,-0.239416,36.97,conditional-resnet-hinge
142,2.000000,-0.220153,36.45,conditional-resnet-hinge
143,2.000000,-0.213895,36.79,conditional-resnet-hinge
144,2.000000,-0.213009,32.72,conditional-resnet-hinge
145,2.000000,-0.230104,35.69,conditional-resnet-hinge
146,2.000000,-0.219297,36.84,conditional-resnet-hinge
147,2.000000,-0.214660,37.17,conditional-resnet-hinge
